date,open,high,low,close,volume
2015-01-02,48.27937517078686,48.9093930800761,47.64935409921748,48.29595184326172,1994640
2015-01-05,47.86488978848768,48.229636673875554,46.69603829322813,46.70432662963867,3302045
2015-01-06,46.132333099935856,46.32299644592597,45.527180231962056,45.65152740478516,4210996
2015-01-07,45.82561941310134,46.04115413098474,45.286788942953926,45.48574066162109,3313252
2015-01-08,46.007985079206506,46.505367436772445,44.457807007922064,46.480499267578125,5707800
2015-01-09,46.54682228865847,46.57169045982253,45.07954010665535,45.20388412475586,4203055
2015-01-12,45.4442873584788,47.6825144876686,45.1126969829395,47.29289627075195,6203238
2015-01-13,47.50014148293694,47.67422501446492,46.72919651499264,47.649356842041016,4077088
2015-01-14,46.87841564267549,47.45040895265072,46.679463922729774,46.81209945678711,3404192
2015-01-15,47.20999394485597,48.088702946653534,45.80073978068658,47.91461944580078,4754390
2015-01-16,47.69080883167226,48.04726742348225,47.35093007695582,47.723968505859375,4777011
2015-01-19,48.287666123570325,48.31253429591028,47.52501265719561,47.674224853515625,3096594
2015-01-20,46.24010584965191,46.24010584965191,44.93861869186557,45.48574066162109,9446846
2015-01-21,45.58520249732658,45.767574310302734,45.02150090315441,45.767574310302734,4773058
2015-01-22,45.6266624653069,46.5468227549574,45.60179113161352,46.53024291992188,5670556
2015-01-23,47.25144812844614,47.86488937274503,46.67116655406182,47.65764617919922,6194543
2015-01-26,47.55816658920505,48.37055951851914,47.43382257196277,48.29595184326172,3244622
2015-01-27,48.49490562398979,48.67728063997544,47.48355786229491,47.74882888793945,3926135
2015-01-28,48.09700038739456,48.312531915709656,47.39237163710104,47.50843048095703,3475930
2015-01-29,47.32604862232287,47.93948977352478,47.22657278995597,47.90633010864258,2749686
2015-01-30,48.38714165119145,48.44516949444963,47.864891061867816,47.9643669128418,3774419
2015-02-02,48.08042395518076,48.693865238426085,48.0141046111411,48.66070556640625,3239206
2015-02-03,48.90938951744143,49.357035536378746,48.64411850524448,49.00886535644531,3414361
2015-02-04,49.16638431760263,49.57257927169255,49.05861695411154,49.40678405761719,3277797
2015-02-05,49.10006413480376,49.57257843142688,48.984008435602384,49.47310256958008,1888903
2015-02-06,49.3570347094302,49.40677104695889,48.95912819780147,49.0751838684082,2259661
2015-02-09,48.63583324013942,48.89281594963568,48.32082584921147,48.75189208984375,3446789
2015-02-10,48.71872617506737,49.47309120892993,48.44516366495681,49.00886535644531,2372752
2015-02-11,49.13320920018848,49.14978903261318,48.66898337913575,49.03373336791992,1750578
2015-02-12,48.99228553505981,50.30206392510231,48.90110119394689,50.01192474365234,3783578
2015-02-13,50.23575227358264,50.69997819717778,50.10311674716693,50.310359954833984,2529071
2015-02-16,50.11140824635063,50.53418299858806,49.970481220751225,50.310359954833984,1156905
2015-02-17,50.07824458987236,50.335227285354506,49.62231020173577,50.13627243041992,2335657
2015-02-18,50.16943459425225,50.34351812454992,49.539413490869805,50.1777229309082,2027643
2015-02-19,50.20259113266521,50.37667465209961,49.70520558277821,50.37667465209961,1874347
2015-02-20,50.393252187001295,50.69997120661933,49.95389449697551,50.509307861328125,4509824
2015-02-23,50.7662904918187,51.1724853515625,50.58391548246764,51.1724853515625,2522806
2015-02-24,51.02327249765072,51.32999153192212,50.85747731400021,51.21393585205078,2125376
2015-02-25,50.99011843743333,51.30512900479281,50.85748290837888,51.29684066772461,1904544
2015-02-26,51.3714416268415,51.96001151234463,51.131038773682185,51.86882400512695,2639190
2015-02-27,51.71961675861187,52.15897136697743,51.50408520421005,52.092655181884766,2995421
2015-03-02,51.96001636684214,52.51542663574219,51.85224901530918,52.51542663574219,2874617
2015-03-03,52.47397943269815,52.78898999309335,52.05120468139648,52.05120468139648,2380121
2015-03-04,52.051198583571775,52.29988977063142,51.52894487715052,52.28330993652344,2297112
2015-03-05,52.34134376719314,52.87188587026884,52.15896873340573,52.71438217163086,2454669
2015-03-06,52.47397167718179,52.85529836313877,52.2087006641439,52.61489868164063,2373370
2015-03-09,52.250151586855566,52.38278710078647,51.777637370834206,52.24186325073242,2569651
2015-03-10,52.067782522015285,52.30818222983087,51.54552877442645,51.89369583129883,2726507
2015-03-11,52.109226342026766,52.97135874064156,51.98487916754732,52.84701156616211,2749465
2015-03-12,52.73924291120908,53.83348979742542,52.68121507450638,52.888458251953125,2880081
2015-03-13,53.17860550544061,53.85007143847648,52.8635949612118,53.63453674316406,2952479
