date,open,high,low,close,volume,daily_return,sma_20,sma_50,sma_200,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid,bb_upper,bb_lower,bb_width
2015-10-14,53.91135548328292,54.15564208402467,53.26273410202061,53.41436004638672,2886000,-0.0053331842520432104,49.43207607269287,50.48006217956543,52.769037055969235,50.8164655345458,50.20804572841694,0.6084198061288575,-0.0472448956495304,0.6556647017783879,81.91862952727193,49.43207607269287,53.081042140820905,45.78311000456484,7.297932136256065
2015-10-15,53.92819471979611,54.90534102792054,53.45647246165812,54.86322021484375,4049228,0.027124918602390746,49.68647003173828,50.45630722045898,52.80187339782715,51.439043177668566,50.552873468152264,0.8861697095163024,0.13943802538363614,0.7467316841326662,82.35304269916534,49.68647003173828,54.071401132952715,45.30153893052385,8.769862202428868
2015-10-16,54.96431423550112,55.747713913858114,54.74529754404253,55.697174072265625,4374544,0.015200599858267827,50.0470027923584,50.46607879638672,52.84683763504028,52.09414023837581,50.93393277216066,1.160207466215148,0.34359191354993857,0.8166155526652095,87.23083823386433,50.0470027923584,55.14437469394618,44.949630890770614,10.19474380317557
2015-10-19,55.3433669666054,56.33735772677996,55.318097049888586,55.722434997558594,2754139,0.0004535405200305487,50.38479080200195,50.46220405578613,52.89719217300415,52.65233943209624,51.28863664070866,1.3637027913875812,0.5476140891174671,0.8160887022701141,87.33078746996438,50.38479080200195,56.04502343262039,44.724558171383514,11.320465261236876
2015-10-20,55.59607908779517,56.37105319326957,55.43602771265432,56.01726150512695,2698942,0.0052909839202339715,50.80386734008789,50.48932823181153,52.94984977722168,53.17001975102404,51.63890514918409,1.5311146018399526,0.7443141916619642,0.7868004101779884,86.44512821304754,50.80386734008789,56.836000608993565,44.771734071182216,12.06426653781135
2015-10-21,56.37949148507222,57.06180510003472,56.07623956136997,56.9101791381836,3037212,0.01594004435534435,51.26758975982666,50.561940307617185,53.00199817657471,53.74542888751013,52.02936988910998,1.7160589984001504,0.9386631530096016,0.7773958453905488,93.64565312298964,51.26758975982666,57.6877174115287,44.847462108124624,12.840255303404078
2015-10-22,56.68273367365945,58.38430790731648,56.68273367365945,58.04736709594727,4428537,0.019982153895570454,51.81596965789795,50.6539266204834,53.06621559143066,54.407265534961994,52.475147459986815,1.932118074975179,1.1373541374027172,0.7947639375724618,94.03468872989512,51.81596965789795,58.59362356715902,45.03831574863688,13.555307818522138
2015-10-23,58.70441107253102,59.37829912656062,58.325343017076186,58.89815139770508,4877114,0.014656725090589129,52.34665946960449,50.76697196960449,53.12424186706543,55.09817105230708,52.950925529447424,2.147245522859656,1.339332414494105,0.8079131083655509,93.74501251042224,52.34665946960449,59.605065531751904,45.088253407457074,14.51681212429483
2015-10-26,58.68756704625657,59.26880094329088,58.5527919903664,59.07505416870117,2360382,0.003003536898833481,52.90851745605469,50.88625099182129,53.18137035369873,55.70999922406001,53.404564687910664,2.305434536149349,1.532552838825154,0.772881697324195,93.53758615736699,52.90851745605469,60.4322318714006,45.384803040708775,15.047428830691828
2015-10-27,59.04977473142853,59.58888772157993,58.90657424926758,58.90657424926758,2340449,-0.0028519638585935425,53.4623722076416,51.00300277709961,53.24184272766113,56.20177999716887,53.81212095171488,2.389659045453989,1.703974080150921,0.6856849653030679,95.15580653312101,53.4623722076416,61.042467714838764,45.882276700444436,15.160191014394329
2015-10-28,58.97396190491207,59.88371101165109,58.72967533980928,59.68154525756836,2422563,0.013155934090165022,54.00569725036621,51.139297256469725,53.30067735671997,56.73712849876879,54.24689312251884,2.4902353762499487,1.8612263393707267,0.629009036879222,95.66613663828743,54.00569725036621,61.73944003837215,46.27195446236027,15.467485576011882
2015-10-29,59.81633836965528,60.24593987746878,59.50466101686782,59.934268951416016,2345616,0.004234536702375502,54.59661674499512,51.297493591308594,53.36172885894776,57.22899626071452,54.66818022095567,2.5608160397588478,2.001144279448351,0.5596717603104966,95.42761674545304,54.59661674499512,62.24102275310592,46.95221073688431,15.288812016221613
2015-10-30,60.304884917074666,60.54917144775391,59.57203175176949,60.54917144775391,3145880,0.010259614525979233,55.19427356719971,51.49831306457519,53.426103591918945,57.739792443335965,55.1038092007185,2.6359832426174634,2.128112072082174,0.5078711705352896,95.66265437128258,55.19427356719971,62.73165455855985,47.656892575839564,15.07476198272029
