Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-04-09 00:00:00+02:00,25.167468002349658,25.34052848815918,25.027313858292466,25.34052848815918,17700,0.0,0.0
1998-04-10 00:00:00+02:00,25.34052848815918,25.34052848815918,25.34052848815918,25.34052848815918,0,0.0,0.0
1998-04-13 00:00:00+02:00,25.34052848815918,25.34052848815918,25.34052848815918,25.34052848815918,0,0.0,0.0
1998-04-14 00:00:00+02:00,25.652119723797753,26.531436920166016,25.652119723797753,26.531436920166016,86400,0.0,0.0
1998-04-15 00:00:00+02:00,26.656157223989,29.59858818406929,26.482894469632846,29.13120460510254,255300,0.0,0.0
1998-04-16 00:00:00+02:00,29.252461839469337,29.598582813455497,28.26589688432931,28.3869571685791,67500,0.0,0.0
1998-04-17 00:00:00+02:00,28.421690630073236,29.183194833798982,27.798511138632602,28.975400924682617,124800,0.0,0.0
1998-04-20 00:00:00+02:00,29.840910893714916,30.567886352539066,29.60041283793037,30.567886352539062,121800,0.0,0.0
1998-04-21 00:00:00+02:00,30.983274145169457,31.32959741320301,30.30829652315626,30.467544555664062,102000,0.0,0.0
1998-04-22 00:00:00+02:00,30.49862970136659,31.46792824276033,29.14867652094107,29.422080993652344,223200,0.0,0.0
1998-04-23 00:00:00+02:00,29.7716423924534,30.01396751403809,28.21389582110003,30.013967514038086,246000,0.0,0.0
1998-04-24 00:00:00+02:00,29.356259327188223,29.356259327188223,28.733079750401586,28.785079956054688,103500,0.0,0.0
1998-04-27 00:00:00+02:00,28.62928732406978,28.62928732406978,27.383132581925068,27.763782501220703,75000,0.0,0.0
1998-04-28 00:00:00+02:00,28.040838639162487,29.252461964673937,28.006102875509434,28.940872192382812,63900,0.0,0.0
1998-04-29 00:00:00+02:00,29.027401960635967,29.390989590826422,28.76781008140746,29.148664474487305,65400,0.0,0.0
1998-04-30 00:00:00+02:00,29.25246014346019,30.048700126203553,29.183195505493842,29.846187591552734,64800,0.0,0.0
1998-05-01 00:00:00+02:00,29.846187591552734,29.846187591552734,29.846187591552734,29.846187591552734,0,0.0,0.0
1998-05-04 00:00:00+02:00,30.29102315862228,30.948733820215352,30.29102315862228,30.637144088745117,62700,0.0,0.0
1998-05-05 00:00:00+02:00,30.464087876117087,30.637148365335744,29.944704172533683,30.498619079589844,52500,0.0,0.0
1998-05-06 00:00:00+02:00,30.429555753339834,30.882924522497998,29.598582299896336,30.61988067626953,49200,0.0,0.0
1998-05-07 00:00:00+02:00,29.89291901786041,30.70642378189623,29.77165412902832,29.77165412902832,105600,0.0,0.0
1998-05-08 00:00:00+02:00,29.771644234323702,30.464088439941406,29.771644234323702,30.464088439941406,63900,0.0,0.0
1998-05-11 00:00:00+02:00,30.18723919023508,30.429564383733783,29.944711760757688,30.048709869384766,26700,0.0,0.0
1998-05-12 00:00:00+02:00,30.11797451498646,30.11797451498646,29.425530147054392,29.650590896606445,15300,0.0,0.0
1998-05-13 00:00:00+02:00,29.70237959016881,30.637148932363036,29.598583741902072,30.464088439941406,44100,0.0,0.0
1998-05-14 00:00:00+02:00,30.49861313279083,30.49861313279083,29.66784205215894,29.944698333740234,153600,0.0,0.0
1998-05-15 00:00:00+02:00,30.117976063946134,30.41209692848575,29.702388080226157,30.29103660583496,167100,0.0,0.0
1998-05-18 00:00:00+02:00,30.117968072889624,30.37755997912239,29.59858434903975,29.97943878173828,57600,0.0,0.0
1998-05-19 00:00:00+02:00,30.18723235218079,30.775678478530942,30.117967707445555,30.67188262939453,37200,0.0,0.0
1998-05-20 00:00:00+02:00,30.637152805409734,31.294863654130015,30.637152805409734,31.018007278442383,53400,0.0,0.0
1998-05-21 00:00:00+02:00,31.018007278442383,31.018007278442383,31.018007278442383,31.018007278442383,0,0.0,0.0
1998-05-22 00:00:00+02:00,30.948739937203204,31.74498002258116,30.948739937203204,31.39885902404785,108900,0.0,0.0
1998-05-25 00:00:00+02:00,31.39884995884294,32.4719437614943,31.32958533194593,32.19488525390625,57300,0.0,0.0
1998-05-26 00:00:00+02:00,32.36815323687851,32.575744915665894,32.19489052333718,32.33341979980469,114600,0.0,0.0
1998-05-27 00:00:00+02:00,31.848762276917636,31.95255809254926,30.810199737548828,30.810199737548828,59100,0.0,0.0
1998-05-28 00:00:00+02:00,31.57191066139157,31.848764610769194,31.15652513255837,31.56155014038086,43500,0.0,0.0
1998-05-29 00:00:00+02:00,31.6411883632931,32.16036760534357,31.433394395072792,31.848777770996094,69000,0.0,0.0
1998-06-01 00:00:00+02:00,31.848777770996097,31.848777770996097,31.848777770996097,31.848777770996094,0,0.0,0.0
1998-06-02 00:00:00+02:00,31.571915117975262,32.056565342672634,31.571915117975262,31.88350486755371,60900,0.0,0.0
1998-06-03 00:00:00+02:00,32.021830045709734,32.54121371450596,32.021830045709734,32.33341979980469,119700,0.0,0.0
1998-06-04 00:00:00+02:00,32.368147939089184,32.50647495700241,32.17762081842737,32.19488525390625,45600,0.0,0.0
1998-06-05 00:00:00+02:00,32.55848533543476,33.75284433009654,32.55848533543476,33.614315032958984,91500,0.0,0.0
1998-06-08 00:00:00+02:00,33.92590009189464,34.96446520338322,33.92590009189464,34.791404724121094,31200,0.0,0.0
1998-06-09 00:00:00+02:00,34.791408226241174,36.51368200231649,34.68740781493177,35.32785415649414,87600,0.0,0.0
1998-06-10 00:00:00+02:00,34.96447263650046,36.00303564422699,34.825943329274416,35.82997512817383,95700,0.0,0.0
1998-06-11 00:00:00+02:00,35.82997512817383,35.82997512817383,35.82997512817383,35.82997512817383,0,0.0,0.0
1998-06-12 00:00:00+02:00,35.22405565820801,35.795234986428945,34.9644660949707,34.9644660949707,164100,0.0,0.0
1998-06-15 00:00:00+02:00,35.310588979619844,35.4145870642086,34.61834700733184,35.312416076660156,84600,0.0,0.0
1998-06-16 00:00:00+02:00,34.85030765842911,36.16917859018026,34.85030765842911,35.99612045288086,115500,0.0,0.0
1998-06-17 00:00:00+02:00,36.349154885088375,37.94163513183594,36.349154885088375,37.94163513183594,62400,0.0,0.0
1998-06-18 00:00:00+02:00,38.253228564823075,38.72061215872569,37.076133871777884,37.73384475708008,241800,0.0,0.0
1998-06-19 00:00:00+02:00,38.253226485512975,38.59934751454906,37.422455121443576,37.63004684448242,156000,0.0,0.0
1998-06-22 00:00:00+02:00,37.75130769146904,37.75130769146904,36.5205881210409,36.522212982177734,115500,0.0,0.0
1998-06-23 00:00:00+02:00,36.69526782481679,36.69526782481679,34.44507957483235,35.72596740722656,228000,0.0,0.0
1998-06-24 00:00:00+02:00,36.07230190638866,36.29736030489846,35.310592967723416,36.117191314697266,100200,0.0,0.0
1998-06-25 00:00:00+02:00,36.66074190629007,37.214656829833984,36.349152122050775,37.214656829833984,171900,0.0,0.0
1998-06-26 00:00:00+02:00,37.387717578616694,38.11469300147743,37.31845293321069,37.42245101928711,90600,0.0,0.0
1998-06-29 00:00:00+02:00,37.21465817375079,37.90710241217,37.09339564402813,37.69585418701172,60300,0.0,0.0
1998-06-30 00:00:00+02:00,37.66477766175553,38.04542987276105,37.38771906908653,37.5607795715332,89400,0.0,0.0
1998-07-01 00:00:00+02:00,37.733827647500846,37.733827647500846,37.21464631113727,37.3877067565918,111000,0.0,0.0
1998-07-02 00:00:00+02:00,37.387718840748406,37.80310449127212,36.59147874560227,36.90306854248047,94500,0.0,0.0
1998-07-03 00:00:00+02:00,36.937596493852325,37.31845090491811,36.591475521569166,36.868534088134766,68100,0.0,0.0
1998-07-06 00:00:00+02:00,37.041594574276345,37.041594574276345,35.82996893536145,36.868534088134766,117900,0.0,0.0
1998-07-07 00:00:00+02:00,37.1799112547961,37.1799112547961,36.626198747903715,36.799259185791016,52800,0.0,0.0
1998-07-08 00:00:00+02:00,36.79927575110511,37.041600920404285,36.003035589699444,36.27989196777344,49800,0.0,0.0
1998-07-09 00:00:00+02:00,36.349154983434765,36.73000944258937,34.999002215310036,35.48365020751953,86100,0.0,0.0
1998-07-10 00:00:00+02:00,31.848771259629075,34.44508303376343,31.329592123722918,34.02969741821289,753600,0.0,0.0
1998-07-13 00:00:00+02:00,34.44507684346422,35.31058135793969,34.410545646676056,34.96100616455078,170400,0.0,0.0
1998-07-14 00:00:00+02:00,35.27605851045665,35.604912739057,34.687407814076344,35.03373336791992,135900,0.0,0.0
1998-07-15 00:00:00+02:00,35.55291388421806,36.349151611328125,35.31058874831822,36.349151611328125,153000,0.0,0.0
1998-07-16 00:00:00+02:00,36.660744025213454,36.972333827462066,36.10682906965427,36.574214935302734,90900,0.0,0.0
1998-07-17 00:00:00+02:00,37.128126113655696,38.01089522262821,36.981065728226945,37.377357482910156,49200,0.0,0.0
1998-07-20 00:00:00+02:00,37.387716757251084,37.71657097647841,36.86853528201418,37.24918746948242,64500,0.0,0.0
1998-07-21 00:00:00+02:00,37.11086422306969,39.94949917327362,37.11086422306969,38.945465087890625,261000,0.0,0.0
1998-07-22 00:00:00+02:00,38.938561938345025,41.16112578687552,38.938561938345025,39.42158508300781,982218,0.0,0.0
1998-07-23 00:00:00+02:00,39.29178919770225,39.63791020373915,37.73384019864907,39.118526458740234,1035024,0.0,0.0
1998-07-24 00:00:00+02:00,38.183956973908636,39.32631568858599,37.90689839716767,38.80713653564453,207708,0.0,0.0
1998-07-27 00:00:00+02:00,38.357005362644195,39.11851173652182,36.799259185791016,36.799259185791016,205947,0.0,0.0
1998-07-28 00:00:00+02:00,38.53007020873509,38.53007020873509,37.456974029541016,37.456974029541016,549195,0.0,0.0
1998-07-29 00:00:00+02:00,37.49151484785111,39.11852625070422,36.52221424734777,38.01089859008789,512232,0.0,0.0
1998-07-30 00:00:00+02:00,38.0801696716861,40.41688782985279,38.0801696716861,40.394344329833984,1110717,0.0,0.0
1998-07-31 00:00:00+02:00,42.19969327070866,42.580347869809394,41.334188378050314,40.394344329833984,2756547,0.0,0.0
1998-08-03 00:00:00+02:00,40.33014358006169,41.541973777839196,40.08782310170276,40.15708541870117,1320186,0.0,0.0
1998-08-04 00:00:00+02:00,39.63791020373915,39.98403120977605,38.80713889487316,39.118526458740234,434781,0.0,0.0
1998-08-05 00:00:00+02:00,37.0416040783265,37.924373410611146,36.17609918962549,36.76454544067383,1196967,0.0,0.0
1998-08-06 00:00:00+02:00,37.35298490592934,37.35298490592934,36.00303211852906,36.03756332397461,742824,0.0,0.0
1998-08-07 00:00:00+02:00,36.21062382308034,36.52221361584625,36.072299089910175,36.03756332397461,538635,0.0,0.0
1998-08-10 00:00:00+02:00,36.349151352278525,36.68674123184855,36.141357421875,36.141357421875,235872,0.0,0.0
